HelyreigazitasID;SajtotermekID;CikkCim;CikkURL;CikkDatum;CikkIdo;HelyreigazitasSzoveg;HelyreigazitasURL;HelyreigazitasDatum;HelyreigazitasIdo;HelyreigazitasJelolve
11;1;Pesti Srácok: Politizált az óráin, kirúgták a Károli patkányozó docensét ;https://telex.hu/belfold/2021/06/04/karoli-gaspar-reformatus-egyetem-docens-elbocsatas;2021/06/04;20:24;"2021. június 4-én 20:24 perckor a „Pesti Srácok: Politizált az óráin, kirúgták a Károli patkányozó docensét” címmel megjelent cikkünkkel kapcsolatban az alábbi helyreigazító közleményt tesszük közzé:

Cikkünk megjelenése után a szerkesztőségünkhöz érkezett hangfelvételből kitűnik, hogy Klein Tamást a Pesti Srácok cikke alapján abban a hamis színben tüntettük fel, hogy a fideszeseket patkánynak nevezte azáltal, hogy azt közöltük róla, hogy az óráján azt mondta, a Lendvay utca környékén (ahol a Fidesz székháza található) sok a patkány. Ezzel szemben a valóság az, hogy az előadás témája és kontextusa a politikai közbeszéd hanyatló állapotáról és színvonaláról szólt, és a hivatkozott kifejezést Klein Tamás elítélendő példaként említette, éppen az ellenzéki kommunikációból az O1G jelszó mellett.";https://telex.hu/belfold/2021/06/19/helyreigazitas-klein-tamas-ugyeben;2021/06/19;14:16;1
12;21;Ítélet született a korábbi jegyző munkaügyi perében;https://www.budakalasz.hu/iteletet-szuletett-a-korabbi-jegyzo-munkaugyi-pereben/;2021/03/16;;A Budakalászi Hírmondó XV. évfolyam 3. szám (2021 április) kiadványban az „Ítélet született a korábbi jegyző munkaügyi perében” címmel megjelentetett cikkben valótlanul állítottuk, hogy a korábbi jegyző nem a korábbi képviselő-testület döntésének megfelelően, ismeretlen tettesek ellen tett feljelentést az ügyben, hanem kifejezetten a később munkáltatójává váló dr. Göbl Richárd és Forián-Szabó Gergely ellen. A valóság az, hogy a nevezettek ellen Budakalász Város Önkormányzata nevében eljáró korábbi polgármester, Rogán László úr tett feljelentést. A valótlan tényállítás miatt az érintettől elnézést kérünk.”;;;;1
13;11;Oltásellenességre játszhat a baloldal;https://magyarnemzet.hu/belfold/2020/12/oltasellenessegre-jatszhat-a-baloldal;2020/12/19;05:45;"A magyarnemzet.hu oldalon 2020. december 29. napján megjelent, „ Az oltásellenességre játszhat a baloldal” című cikkünkben azt a valós tényt, hogy Krekó Péter politikai elemzőként nyilatkozott a Politico című lapnak a koronavírus-járvány, valamint a járvány elleni oltásba vetett alacsony bizalmi szint lehetséges politikai következményeiről, a cikk és a nyilatkozat lényeges elemeinek eltorzításával és elhallgatásával abban a hamis színben tüntettük fel, hogy Krekó Péter a baloldali pártok számára azt a stratégiát javasolja a választásokra, hogy kezdjenek oltásellenes kampányba. Ezzel szemben a valóság az, hogy Krekó Péter a Politico cikkében idézett nyilatkozatában a baloldali kampány és annak stratégiája szóba sem kerül, és Krekó Péter nem is adott tanácsot a baloldali pártoknak a választási stratégia kapcsán; Krekó Péter a cikkben idézett álláspontjával a magyar kormányt kritizálta, mert az orosz vakcina propagálásával szerinte a hivatalos uniós oltás népszerűségét is aláásta a kormány. ";;2021/12/29;08:46;1
14;1;Miért tűntek el Kepes András könyvei a boltokból?;https://telex.hu/kult/2021/01/29/kepes-andras-libri-bookline-halmos-adam-mcc-speder-zoltan-konyvpiac-ner;2021/01/29;13:41;"Cikkünk korábbi változatásban tévesen állítottuk, hogy a Mathias Corvinus Collegiumnak a tavalyi tulajdonosváltás következtében 25,4%-os részesedése lett a Libri-Bookline csoportban.

Tévesen állítottuk továbbá, hogy a tavalyi Mathias Corvinus Collegium tulajdonosváltást követően a Libri Könyvkiadó Kft-nél is változások történtek az elmúlt év végén.

Tévesen állítottuk továbbá, hogy a korábbi kisebbségi tulajdonos Spéder által kiharcolt vétójogok miatt a Libriben a döntések közül nagyon sokat csak 75 százalékos többséggel lehet meghozni.

Tévesen állítottuk azt is, hogy Büchler András „elmegy a Libri Könyvkiadó Kft.-től”, mivel Büchler András 2020. szeptember 30. óta nem a Libri Könyvkiadó Kft. alkalmazottja.

A cikk szövege is frissült azzal, hogy korábbi téves állításainkat a cikkből töröltük, illetve korrigáltuk.";;2021/01/19;16:41;1
15;22;Kifogásolható döntéseket hoznak a baloldali polgármesterek;https://hirtv.hu/ahirtvhirei/kifogasolhato-donteseket-hoznak-a-baloldali-polgarmesterek-2501531;2020/05/16;;A 2020. május 16. napján „Kifogásolható döntéseket hoznak a baloldali polgármesterek” címmel megjelent cikkünkben valótlanul állítottuk, hogy Pikó András polgármester elvett 60 közszolgálati lakást azoktól, akik a koronavírus ellen küzdenek, azaz az egészségügyi dolgozóktól, a tűzoltóktól és a rendőröktől. A valóság ezzel szemben az, hogy egyetlen egészségügyi dolgozótól, tűzoltótól, rendőrtől sem került elvételre egyetlen lakás sem, tekintettel arra, hogy a VIII. kerületben üres, nem lakott, nem használt lakások átminősítéséről született döntés.;;2021/01/13;08:00;1
16;23;Elhunyt az egyik leggazdagabb magyar;https://mfor.hu/cikkek/vallalatok/elhunyt-az-egyik-leggazdagabb-magyar.html;2022/07/11;17:37;A cikkben tévesen közöltük, hogy „Adócsalás miatt a NAV is vizsgálatot folytatott ellene, gyanúsítottként megtörtént a meghallgatása is, de vádat nem emeltek ellene.” Az igazság ezzel szemben az, hogy a NAV semmilyen büntetőeljárást nem folytatott Claessens Peter üzletember ellen.;;;;1
17;2;Bűzlő szemétarmageddon lett az egy cég alá terelt Pest megyei hulladékszállítás eredmény;https://444.hu/2022/06/30/buzlo-szemetarmageddon-lett-az-egy-ceg-ala-terelt-pest-megyei-hulladekszallitas-eredmenye;2022/06/30;13:43;"Az NHKV Zrt. által sérelmezettek a cikk azon részei, mely szerint „2013-ban létrehozták a Nemzeti Hulladékgazdálkodási Koordináló és Vagyonkezelő Zrt.-t – népszerűbb nevén kukaholdingot –, valamint bevezették a rezsicsökkentést. Innentől az ármegállapítás joga átszállt az NHKV-ra, mely az akkori szinten rögtön élt is a befagyasztás eszközével.”

A valóság ezzel szemben az, hogy az NHKV Zrt-t 2015. december 23-án alapították, a cég bejegyzése 2016. január 10-én történt meg. Az „ármegállapítás jogával” kapcsolatban a következőre hívjuk fel a szerkesztőség figyelmét: a hulladékról szóló 2012. évi CLXXXV. törvény (továbbiakban Ht.) 47/A §-a alapján a hulladékgazdálkodási közszolgáltatási résztevékenység ellátásáért szedhető közszolgáltatási díjat és a hulladékgazdálkodási intézményi résztevékenység ellátásával összefüggő díjakat a Magyar Energetikai és Közmű-szabályozási Hivatal (MEKH) javaslatának figyelembevételével a miniszter rendeletben állapítja meg. Az „ármegállapítás joga” - ugyan a hatályos jogszabályok ilyen kifejezést nem tartalmaznak - így nem Társaságunk feladata.

Továbbá az NHKV Zrt. által sérelmezettek a cikk azon részei, mely szerint „a szemétdíj is hozzájuk fut be, aminek csak egy részét utalják tovább,” „késve fizet” és „az NHKV nem fizet sem időben, sem eleget, emiatt folyamatosak a finanszírozási problémák,” valamint „Az NHKV eleve negyedévente számláz a fogyasztóknak, a befizetésre van 30 nap, így a szolgáltató a kukaholdingtól májusban lát először pénzt az addig elvégzett munkáért – gyakorlatilag az állam meghitelezteti velük a szolgáltatást.”

A valóság ezzel szemben az, hogy az NHKV Zrt. - mint az állami hulladékgazdálkodási közfeladat ellátására kijelölt gazdasági társaság - hulladékgazdálkodási közszolgáltatás finanszírozására vonatkozó közfeladatát a jogszabályoknak megfelelően látja el, s a jogszabályban rögzített fizetési kötelezettségét valamennyi közszolgáltató felé fizetési határidőn belül teljesíti, így késedelmes fizetésbe nem esik. Társaságunknál nincs lejárt, kifizetetlen szolgáltatási díj számlája a DtKH Duna-Tisza Közi Hulladékgazdálkodási Nonprofit Korlátolt Felelősségű Társaságnak (továbbiakban DTKH) és más közszolgáltatónak, az adatszolgáltatással alátámasztott szolgáltatási díjról a jogszabályok szerint kiállítottuk a díjközlőt a cég számára. Társaságunk 2018 óta minden szolgáltatási díj számlát határidőben vagy határidő előtt kifizet.

Tájékoztatjuk, hogy a DTKH szolgáltatási területéről beszedett, lakosság által fizetett közszolgáltatási díj kevesebb, mint amennyit az NHKV Zrt. megfizet a DTKH részére. Így nem igaz a cikk állítása, miszerint a lakosságtól beszedett díjnak csak egy részét kapja meg a közszolgáltató.

A közszolgáltatók likviditásának fenntarthatóságát elősegítve - a 13/2016. (V. 24.) NFM rendelet módosításának köszönhetően - az NHKV Zrt. 2021. július hónaptól havi finanszírozási rendszerre állt át a korábbi negyedéves finanszírozási rendszerről. Ez azt jelenti, hogy az új elszámolási rendszerben a közszolgáltatók minden hónapban kapnak szolgáltatási díjat. Így az az állítás is valótlan, hogy közszolgáltató cégek „májusban látnak először pénzt.”

A „folyamatosak a finanszírozási problémák” állításával szemben az NHKV Zrt. évről évre egyre magasabb szolgáltatási díjat állapított meg és fizet ki a Díjrendelet alapján, míg 2017. évben nettó 104 Mrd Ft, 2021. évben már nettó 132 Mrd Ft volt a közszolgáltatók részére jogszabály alapján kifizetett szolgáltatási díj összege. 2022. évre vonatkozóan tovább nőtt a finanszírozás mértéke, a Díjrendelet alapján a tervezett szolgáltatási díj összege nettó 145 Mrd Ft. Összehasonlításként - „a szemétdíj is hozzájuk fut be, aminek csak egy részét utalják tovább”-ra vonatkozó valótlan állításuk vonatkozásában - a 2021. évben az ingatlanhasználóktól beszedett közszolgáltatási díj (vagy az önök szóhasználatával élve „kukadíj”) mértéke 91,7 Mrd Ft volt.

Szintén valótlanságot állít a cikk, amikor azt írja, „Az NHKV – melynek felügyelő minisztere Palkovics László – 2016 óta nem adott le mérleget, és egyes becslések szerint 60 milliárdos veszteséget halmozott fel.";;;;1
18;2;Matolcsy Ádám köre is szépen berendezkedett Tihanyban;https://444.hu/2022/06/09/matolcsy-adam-baratai-is-szepen-berendezkedtek-tihanyban;2022/06/09;06:04;"444.hu internetes hírportálon 2022. június 9. napján megjelent „Matolcsy Ádám barátai is szépen berendezkedtek Tihanyban"" című cikkben, és az abban szereplő azonos című Youtube.com videómegosztóra feltöltött videóban valótlanul állítottuk, illetve azt a hamis látszatot keltettük, hogy Somlai Bálint jogszerűtlenül, a szükséges engedélyek beszerzése nélkül építkezik a Tihanyi-félszigeten, illetve, hogy a Somlai Bálint tulajdonában álló ingatlanon épülő épület hivatalosan gazdasági épületnek, az ahhoz tartozó medence pedig esővíztározónak minősül. A valóság ezzel szemben az, hogy a Somlai Bálint tulajdonában álló és a Tihanyi-félszigeten elhelyezkedő ingatlan tekintetében Somlai Bálint az építkezés során minden esetben az irányadó jogszabályok betartásával járt el. Továbbá az érintett ingatlanon épülő felépítmény nem minősül gazdasági épületnek, illetve a medence sem minősül esővíztározónak.""";;;;1
19;2;Harrach Péter igazsága;https://444.hu/2021/12/06/harrach-peter-igazsaga;2021/12/06;14:18;"Cikkünkben azt a valótlan tényt híreszteltük megalapozatlanul, hogy Veress László, az Országgyűlés elnökének titkárságvezetője 300 millió forintot lopott el a határon túli magyar tehetségeknek járó pénzből. Erről Kövér László házelnök is tudott és csak az a kérdés, hogy kapott-e megvesztegetési pénzt azért, hogy ezt elnézze.

A valóság az, hogy Veress László titkárságvezető a Magyar Tehetségekért Határtalanul Alapítvány vagyonából nem lopott, hozzá vagyoni előny nem került. Nem károsította meg a határon túli magyar tehetségeket. Veress László nem vesztegette meg hivatali felettesét, Kövér házelnököt.
Advertisement

A cikkünk által hivatkozott forrásban megjelölt ingatlan nem Veress László vagy családtagjai, hanem a Magyar Tehetségekért Határtalanul Alapítvány tulajdonában és használatában van.";https://444.hu/2022/01/06/helyreigazitas;2022/01/06;19:19;1
20;2;”Kövér László, amikor a Székelyföldön jár, ebben az úszómedencés házban szokott tartózkodni”;https://444.hu/2021/12/17/kover-laszlo-amikor-a-szekelyfoldon-jar-ebben-az-uszomedences-hazban-szokott-tartozkodni;2021/12/17;09:42;A 2021. december 17. napján «„Kövér László amikor a Székelyföldön jár, ebben az úszómedencés házban szokott tartózkodni” címmel megjelent cikkünkben azt a valótlan tényt híreszteltük, hogy amikor Kövér László a Székelyföldön jár akkor Veress László tibódi házában szokott tartózkodni. A valóság ezzel szemben az, hogy Kövér László egyszer sem vette igénybe – sem hivatalos, sem pedig privát útjain – Veress László tibódi házát.;;;;1
21;2;Most, hogy a NER a nevére vette az Indexet, hallgassuk meg újra, a kormánymédia szerint kinek nem állt érdekében szétverni a lapot;https://444.hu/2020/11/23/most-hogy-a-ner-a-nevere-vette-az-indexet-hallgassuk-meg-ujra-a-kormanymedia-szerint-kinek-nem-allt-erdekeben-szetverni-a-lapot;2020/11/23;21:38;A cikkünkben azt a valós tényt, hogy az Indamedia Network Zrt. – gyakorolva opciós jogát – megszerezte az Index.hu Zrt. részvényeit a Magyar Fejlődésért Alapítványtól, abban a hamis színben tüntettük fel, hogy Bodolai László átengedte a kiadó részvényeit az Indamedia csoportnak. A valóság azonban az, hogy Bodolai László az opciós jog érvényesítésében nem működött közre.;https://444.hu/2021/11/29/helyreigazitas;2021/11/29;15:47;1
22;2;Felszámolják a kormány szkennelőközpontját;https://444.hu/2021/09/04/felszamoljak-a-kormany-szkennelokozpontjat;2021/09/04;08:19;Valótlanul állítottuk a „Felszámolják a kormány szkennelőközpontját” címmel közölt cikkünkben, hogy „A szkennelőközpontot Budapest agglomerációjában hozták létre, oda kellett kiszállítani az összes kiildeményt”. A valóság ezzel szemben az, hogy a KÉR nem az agglomerációban van, hanem a Budapest, VIII. kerület Orczy tér l. szám alatt, a Mauar Posta Hírlap Logisztikai Központja mellett. A kiildeményeket nem kellett szállítani, mivel a meghatározott postafiókok esetében a Posta ezt közvetlenül a KÉR-be vitte kézbesítés helyett.”;;;;1
23;2;Hernádi Zsolt rokonságának óriási szerencséje volt egy esztergomi ingatlanüzlettel;https://444.hu/2021/08/17/hernadi-zsolt-rokonsaganak-oriasi-szerencseje-volt-egy-esztergomi-ingatlan-uzlettel;2021/09/17;07:20;Cikkünkben valótlan tényállítások kerültek megfogalmazásra Sasvári Viktor Esztergom Város Önkormányzatának akkori helyi önkormányzati képviselőjével, valamint a pénzügyi és Tulajdonosi Bizottság (PETB) tagjával kapcsolatban. Sasvári Viktor, mint Esztergom Város Önkormányzatának akkori önkormányzati képviselője, a hatályos jogszabályokban foglaltak szerint, a lehető legnagyobb gondossággal látta el feladatait. A volt Gyopár Kemping vonatkozásában az Önkormányzatot megillető elővásárlási jog gyakorlásáról szóló döntés meghozatalakor valóban egyik tulajdonosa volt az ingatlant nyilvános pályázat útján, egyedüli nyertes pályázóként megszerző BSP Ingatlanberuházó Korlátolt Felelősségű Társaságnak és ez idő alatt részt vett a Pénzügyi Ellenőrző és Tulajdonosi Bizottság (PETB) munkájában. Azonban hangsúlyozandó, hogy a PEBT 2016. november 15. napján megtartott ülésén - amelyen a Bizottság javasolta a képviselő-testületnek, hogy az Önkormányzat elővásárlási jogával ne éljen - az ott készült hanganyag felvétellel igazolhatóan Sasvári Viktor maga jelentette be az ügyben való személyes érintettségét, így e körben nem adta le szavazatát, valamint az erről szóló 644/2016. (XI.17.) számú önkormányzati határozat meghozatala során a képviselő-testület döntésében szintén semmilyen formában nem vett részt.;;;;1
24;2;Feljelentették a terrorelhárítókat a pszichés beteg miatt, akit saját otthonában terítettek le;https://444.hu/2021/07/29/feljelentettek-a-terrorelharitokat-a-psziches-beteg-miatt-akit-sajat-otthonaban-teritettek-le;2021/07/29;11:06;Cikkünkben tévesen közöltük, hogy a gyanúsított első tárgyalását még a kórházban, egy szombati napon, akkor még kirendelt védő jelenlétében folytatták le. A valóság ugyanis az, hogy a kirendelt védő csupán a pénteki napon megtartott első gyanúsítotti kihallgatás alkalmával vett részt az eljárásban, amelyen a gyanúsítás közlésére került sor, míg a szombati napon, a letartóztatás tárgyában tartott ülés napján már meghatalmazott védő látta el a védelmet.;;;;1
25;2;Keszthely kormánypárti polgármestere is feljelentette már a város korábbi fideszes vezetését;https://444.hu/2021/03/02/keszthely-kormanyparti-polgarmestere-is-feljelentette-mar-a-varos-korabbi-fideszes-vezeteset;2021/03/02;07:37;Valótlanul állítottuk, hogy Keszthely Város Önkormányzatának polgármestere a korábbi városvezetők tekintetében kezdeményezett volna büntetőeljárást. A valóság ezzel szemben az, hogy Keszthely Város Önkormányzata ismeretlen tettes ellen tett korábban feljelentést. A feljelentés megtételére a helyi ellenzék 2021. február 16-i feljelentését megelőzően, 2021. február 5 napján került sor.;;;;1
26;2;Ellehetetlenült, ezért távozik a Nemzeti Választási Bizottság elnöke;https://444.hu/2021/02/05/ellehetetlenult-ezert-tavozik-a-nemzeti-valasztasi-bizottsag-elnoke;2021/02/05;19:39;Cikkünkben valótlanul híreszteltük, hogy dr. Rádi Péter felperes, a Nemzeti Választási Bizottság volt elnöke javaslatára került volna be a választási eljárásról szóló törvénybe az a rendelkezés, hogy az NVB tagjainak járandóságát az elnök csökkentheti, ha hiányoznak az ülésekről.;;;;1
